School District,Rate 2018 (% elevated),Rate 2017 (% elevated),Rate 2016 (% elevated),Rate 2015 (% elevated)
Allegheny Valley,0.69,0.97,0,0
Avonworth,1,0.63,0.81,0.72
Baldwin-Whitehall,1.45,1.43,0.76,1.36
Bethel Park,0.19,0.63,0,0.49
Brentwood Borough,2.76,3.14,1.42,2.2
Carlynton,5.62,6.19,2.52,0.68
Chartiers Valley,2.74,1.44,2.78,1.54
City of Pittsburgh,4.05,4.65,5.91,5.48
Clairton City,1.18,1.88,1.34,3.45
Cornell,2,0,3.17,1.67
Deer Lakes,0,0.75,0,0
Duquesne City,2.21,6.3,8.82,3.97
East Allegheny,2.13,2.75,2.6,2.65
Elizabeth Forward,0.8,2.76,0.54,0
Fort Cherry,0,0,0,0
Fox Chapel Area,0.84,1.43,0.49,1.12
Gateway,1.54,0.51,1.66,2.33
Hampton Township,0,0,0,0
Highlands,2.24,2.35,2.34,1.23
Keystone Oaks,0.35,0.99,0.55,1.96
McKeesport Area,6.59,5.49,6.48,5.87
Montour,1.06,2.09,2.72,1.85
Moon Area,0.44,0.94,1.63,2.22
Mt. Lebanon,0.34,0.31,0.69,0.43
North Allegheny,0.43,0.47,0,0
North Hills,1.8,1.19,0.87,0.56
Northgate,4.58,6.74,5.59,9.38
Penn Hills,0.5,0.8,2.15,0.9
Pine-Richland,0,0,0,0
Plum Borough,0,0,0,0
Quaker Valley,2.34,1.53,2.04,2.88
Riverview,2.35,0.81,1.19,2.41
Shaler Area,2.15,2.63,2.97,2.25
South Allegheny,0,4.62,5.19,0.55
South Fayette Township,1.08,1.74,0,0
South Park,0,0.63,0,0
Steel Valley,1.41,4.39,2.86,1.36
Sto-Rox,3.06,1.14,4.43,4.15
Upper St. Clair Area,0.69,2.27,0,0
West Allegheny,0.67,0.7,0,0
West Jefferson Hills,0.22,0,0,0.4
West Mifflin Area,1.63,1.5,1.23,1.62
Wilkinsburg,7.35,7.33,4.58,6.36
Woodland Hills,2.8,3.51,4.65,3.39
TOTAL,2.07,2.65,3.06,2.86
